source_id,target_id,weight
2141,951,11
2142,7,12
2142,23,11
2142,137,11
2142,351,12
2142,352,11
2142,808,12
2142,951,26
2142,1093,10
2142,1252,12
2143,7,15
2143,23,11
2143,137,14
2143,351,12
2143,352,11
2143,951,19
2143,1252,16
2143,1938,10
2143,5228,22
2166,74,10
2166,99,13
2166,109,30
2166,137,12
2166,1093,14
2166,1589,13
2166,1799,15
2166,1801,54
2166,1811,10
2166,1812,14
2167,92,10
2167,109,16
2167,644,30
2167,957,27
2167,1589,11
2167,2099,12
2167,2100,12
2174,58,12
2174,278,12
2174,1417,17
2230,951,10
2236,823,12
2239,35,29
2239,36,26
2239,58,14
2239,533,18
2239,1251,16
2239,1589,12
2239,1799,15
2245,57,12
2245,58,11
2245,109,15
2245,278,13
2245,331,11
2245,644,11
2245,1801,24
2246,57,39
2246,58,25
2246,109,30
2246,137,17
2246,278,36
2246,331,16
2246,644,19
2246,808,10
2246,1093,14
2246,1252,17
2246,1581,15
2246,1801,57
2246,5228,22
2247,57,32
2247,58,13
2247,109,36
2247,137,10
2247,278,35
2247,331,17
2247,533,14
2247,644,11
2247,1093,28
2247,1252,16
2247,1581,10
2247,1589,16
2247,1801,45
2247,1814,22
2247,2038,13
2247,2670,10
2258,475,19
2258,823,21
2258,1102,20
2258,3711,11
2258,4796,20
2262,245,11
2262,322,15
2262,533,15
2263,99,14
2263,122,20
2263,245,16
2273,957,11
2283,35,11
2283,36,12
2283,566,11
2283,5228,10
2284,35,11
2284,36,11
2284,245,15
2284,437,12
2285,1805,11
2285,1812,10
2287,245,10
2288,7,102
2288,12,19
2288,31,52
2288,58,11
2288,68,76
2288,74,51
2288,86,10
2288,87,19
2288,98,11
2288,99,52
2288,102,29
2288,105,20
2288,122,205
2288,136,10
2288,146,15
2288,147,12
2288,154,39
2288,202,13
2288,204,46
2288,215,22
2288,245,139
2288,247,11
2288,253,46
2288,288,12
2288,295,25
2288,322,27
2288,383,11
2288,397,43
2288,428,36
2288,444,88
2288,445,85
2288,448,115
2288,463,15
2288,485,10
2288,503,14
2288,508,40
2288,525,44
2288,533,251
2288,554,10
2288,568,13
2288,570,24
2288,573,17
2288,589,17
2288,611,19
2288,617,22
2288,622,15
2288,654,12
2288,792,18
2288,803,28
2288,806,10
2288,823,90
2288,836,56
2288,953,18
2288,964,23
2288,982,10
2288,987,74
