     source_id target_id     weight
    23   4920 11.000000
    23   6269 13.000000
    23   6760 11.000000
    23   6941 10.000000
    27     35 17.000000
    27     36 14.000000
    27     57 11.000000
    27     58 15.000000
    27     67 12.000000
    27     68 11.000000
    27    245 10.000000
    27    957 10.000000
    27   8315 10.000000
    28     30 21.000000
    28     31 25.000000
    28     32 11.000000
    28     34 18.000000
    28     37 13.000000
    28     38 15.000000
    28     39 14.000000
    28    137 13.000000
    28    138 13.000000
    28    143 10.000000
    28    148 20.000000
    28    278 16.000000
    28    466 10.000000
    28    617 15.000000
    28    823 14.000000
    28    867 10.000000
    29     30 11.000000
    29     34 12.000000
    29     68 12.000000
    29    235 15.000000
    29    236 16.000000
    30     30 44.000000
    30     31 74.000000
    30     32 18.000000
    30     34 61.000000
    30     35 41.000000
    30     36 39.000000
    30     37 33.000000
    30     38 40.000000
    30     39 43.000000
    30     57 44.000000
    30     58 30.000000
    30     68 46.000000
    30     73 10.000000
    30     74 45.000000
    30     98 49.000000
    30     99 205.000000
    30    104 12.000000
    30    105 17.000000
    30    109 39.000000
    30    110 12.000000
    30    116 11.000000
    30    118 27.000000
    30    119 17.000000
    30    122 184.000000
    30    127 23.000000
    30    128 26.000000
    30    130 13.000000
    30    131 21.000000
    30    146 15.000000
    30    148 82.000000
    30    151 14.000000
    30    152 12.000000
    30    153 15.000000
    30    154 14.000000
    30    155 16.000000
    30    156 17.000000
    30    161 14.000000
    30    164 17.000000
    30    166 20.000000
    30    167 12.000000
    30    168 10.000000
    30    175 42.000000
    30    180 13.000000
    30    184 21.000000
    30    186 35.000000
    30    188 15.000000
    30    190 23.000000
    30    191 22.000000
    30    193 10.000000
    30    199 18.000000
    30    202 44.000000
    30    203 14.000000
    30    204 34.000000
    30    207 16.000000
    30    209 12.000000
    30    215 21.000000
    30    216 13.000000
    30    220 12.000000
    30    224 13.000000
    30    229 22.000000
    30    235 163.000000
    30    236 163.000000
    30    238 19.000000
    30    241 10.000000
    30    247 14.000000
    30    278 77.000000
    30    288 24.000000
    30    289 11.000000
    30    295 39.000000
    30    296 16.000000
    30    297 19.000000
    30    300 12.000000
    30    306 11.000000
    30    309 44.000000
    30    312 17.000000
    30    322 35.000000
    30    382 10.000000
    30    398 13.000000
    30    407 14.000000
    30    408 17.000000
    30    416 16.000000
    30    428 28.000000
    30    479 20.000000
    30    488 10.000000
    30    491 10.000000
    30    499 16.000000
    30    502 14.000000
    30    507 17.000000
    30    509 29.000000
    30    542 15.000000
    30    554 16.000000
    30    568 17.000000
    30    573 12.000000
    30    583 12.000000
    30    604 40.000000
    30    660 10.000000
    30    761 14.000000
    30    808 12.000000
    30    813 15.000000
    30    867 18.000000
    30    942 15.000000
    30    951 54.000000
    30    953 38.000000
    30   1102 24.000000
    30   1104 12.000000
    30   1113 16.000000
    30   1131 10.000000
    30   1132 10.000000
    30   1145 15.000000
    30   1152 16.000000
    30   1153 19.000000
    30   1211 24.000000
    30   1244 11.000000
    30   1253 11.000000
    30   1259 11.000000
    30   1262 10.000000
    30   1264 12.000000
    30   1307 10.000000
    30   1355 56.000000
    30   1396 11.000000
    30   1443 10.000000
    30   1589 15.000000
    30   1732 11.000000
    30   1805 10.000000
    30   1833 12.000000
    30   1871 19.000000
    30   2288 11.000000
    30   2816 18.000000
    30   2817 13.000000
    30   2819 13.000000
    30   2841 11.000000
    30   2842 12.000000
    30   3049 10.000000
    30   3331 10.000000
    30   5927 15.000000
    31     31 122.000000
    31     32 28.000000
    31     34 67.000000
    31     35 82.000000
    31     36 82.000000
    31     37 40.000000
    31     38 44.000000
    31     39 48.000000
    31     57 62.000000
    31     58 46.000000
    31     68 191.000000
    31     74 105.000000
    31    122 421.000000
    31    126 16.000000
    31    127 65.000000
    31    128 38.000000
    31    130 10.000000
    31    131 18.000000
    31    133 13.000000
    31    136 99.000000
    31    137 46.000000
    31    138 26.000000
    31    139 27.000000
    31    140 25.000000
    31    142 14.000000
    31    143 28.000000
    31    145 35.000000
    31    146 23.000000
    31    147 29.000000
    31    148 70.000000
    31    151 16.000000
    31    153 31.000000
    31    154 76.000000
    31    155 16.000000
    31    156 22.000000
    31    164 17.000000
    31    166 17.000000
    31    167 10.000000
    31    168 13.000000
    31    175 46.000000
    31    180 13.000000
    31    181 18.000000
    31    218 35.000000
    31    219 13.000000
    31    220 26.000000
    31    229 31.000000
    31    235 162.000000
    31    236 164.000000
    31    245 188.000000
    31    247 15.000000
    31    253 25.000000
    31    254 23.000000
    31    288 20.000000
    31    289 28.000000
    31    295 125.000000
    31    296 12.000000
    31    297 25.000000
    31    300 10.000000
    31    309 36.000000
    31    313 14.000000
    31    322 40.000000
    31    331 13.000000
    31    338 27.000000
    31    352 47.000000
    31    360 14.000000
    31    371 12.000000
    31    397 22.000000
    31    398 12.000000
    31    404 39.000000
    31    407 33.000000
    31    408 13.000000
    31    416 23.000000
    31    419 14.000000
    31    423 15.000000
    31    428 32.000000
    31    437 30.000000
    31    438 30.000000
    31    448 32.000000
    31    459 14.000000
    31    463 11.000000
    31    466 36.000000
    31    471 45.000000
    31    474 16.000000
    31    475 66.000000
    31    476 18.000000
    31    477 25.000000
    31    522 51.000000
    31    524 34.000000
    31    525 48.000000
    31    528 12.000000
    31    531 11.000000
    31    533 208.000000
    31    534 15.000000
    31    535 34.000000
    31    536 18.000000
    31    542 11.000000
    31    547 15.000000
    31    554 13.000000
    31    565 10.000000
    31    566 11.000000
    31    568 22.000000
    31    570 106.000000
    31    573 18.000000
    31    581 24.000000
    31    583 14.000000
    31    590 47.000000
    31    597 24.000000
    31    599 24.000000
    31    604 22.000000
    31    605 116.000000
    31    608 10.000000
    31    617 69.000000
    31    624 50.000000
    31    643 27.000000
    31    660 36.000000
    31    741 21.000000
    31    761 21.000000
    31    765 16.000000
    31    766 10.000000
    31    769 13.000000
    31    788 19.000000
    31    797 26.000000
    31    798 13.000000
    31    799 10.000000
    31    807 12.000000
    31    808 20.000000
    31    813 17.000000
    31    814 50.000000
    31    820 36.000000
